HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID	pmid_count
HGNC:11998	TP53	7157	ENSG00000141510	9454
HGNC:11892	TNF	7124	ENSG00000232810	5715
HGNC:3236	EGFR	1956	ENSG00000146648	5450
HGNC:12680	VEGFA	7422	ENSG00000112715	4476
HGNC:6018	IL6	3569	ENSG00000136244	4398
HGNC:613	APOE	348	ENSG00000130203	4300
HGNC:11766	TGFB1	7040	ENSG00000105329	4165
HGNC:7436	MTHFR	4524	ENSG00000177000	3463
HGNC:3467	ESR1	2099	ENSG00000091831	3139
HGNC:391	AKT1	207	ENSG00000142208	3129
HGNC:4910	HIF1A	3091	ENSG00000100644	3033
HGNC:5962	IL10	3586	ENSG00000136634	2991
HGNC:7794	NFKB1	4790	ENSG00000109320	2973
HGNC:1100	BRCA1	672	ENSG00000012048	2826
HGNC:3430	ERBB2	2064	ENSG00000141736	2809
HGNC:7176	MMP9	4318	ENSG00000100985	2728
HGNC:5992	IL1B	3553	ENSG00000125538	2682
HGNC:4948	HLA-DRB1	3123	ENSG00000196126	2664
HGNC:11364	STAT3	6774	ENSG00000168610	2610
HGNC:620	APP	351	ENSG00000142192	2552
HGNC:2514	CTNNB1	1499	ENSG00000168036	2535
HGNC:2707	ACE	1636	ENSG00000159640	2526
HGNC:1787	CDKN2A	1029	ENSG00000147889	2295
HGNC:6407	KRAS	3845	ENSG00000133703	2293
HGNC:644	AR	367	ENSG00000169083	2262
HGNC:11850	TLR4	7099	ENSG00000136869	2252
HGNC:40	ABCB1	5243	ENSG00000085563	2242
HGNC:11050	SLC6A4	6532	ENSG00000108576	2199
HGNC:6025	CXCL8	3576	ENSG00000169429	2163
HGNC:9605	PTGS2	5743	ENSG00000073756	2146
HGNC:1097	BRAF	673	ENSG00000157764	2139
HGNC:13633	ADIPOQ	9370	ENSG00000181092	2132
HGNC:4632	GSTM1	2944	ENSG00000134184	2129
HGNC:9588	PTEN	5728	ENSG00000171862	2128
HGNC:6871	MAPK1	5594	ENSG00000100030	2072
HGNC:2367	CRP	1401	ENSG00000132693	2067
HGNC:4932	HLA-B	3106	ENSG00000234745	2004
HGNC:9236	PPARG	5468	ENSG00000132170	1991
HGNC:7876	NOS3	4846	ENSG00000164867	1984
HGNC:1033	BDNF	627	ENSG00000176697	1978
HGNC:1678	CD4	920	ENSG00000010610	1978
HGNC:7553	MYC	4609	ENSG00000136997	1949
HGNC:12679	VDR	7421	ENSG00000111424	1921
HGNC:990	BCL2	596	ENSG00000171791	1896
HGNC:5438	IFNG	3458	ENSG00000111537	1868
HGNC:2561	CXCR4	7852	ENSG00000121966	1859
HGNC:1748	CDH1	999	ENSG00000039068	1854
HGNC:6973	MDM2	4193	ENSG00000135679	1835
HGNC:2228	COMT	1312	ENSG00000093010	1811
HGNC:4641	GSTT1	2952	ENSG00000277656	1781
HGNC:1101	BRCA2	675	ENSG00000139618	1743
HGNC:5464	IGF1	3479	ENSG00000017427	1741
HGNC:7166	MMP2	4313	ENSG00000087245	1728
HGNC:1784	CDKN1A	1026	ENSG00000124762	1623
HGNC:11138	SNCA	6622	ENSG00000145335	1615
HGNC:1884	CFTR	1080	ENSG00000001626	1602
HGNC:6553	LEP	3952	ENSG00000174697	1601
HGNC:6893	MAPT	4137	ENSG00000186868	1556
HGNC:4638	GSTP1	2950	ENSG00000084207	1522
HGNC:1606	CCR5	1234	ENSG00000160791	1510
HGNC:1582	CCND1	595	ENSG00000110092	1496
HGNC:6192	JAK2	3717	ENSG00000096968	1488
HGNC:4944	HLA-DQB1	3119	ENSG00000179344	1467
HGNC:4931	HLA-A	3105	ENSG00000206503	1462
HGNC:9955	RELA	5970	ENSG00000173039	1409
HGNC:3535	F2	2147	ENSG00000180210	1392
HGNC:8975	PIK3CA	5290	ENSG00000121879	1384
HGNC:11848	TLR2	7097	ENSG00000137462	1372
HGNC:10618	CCL2	6347	ENSG00000108691	1367
HGNC:6877	MAPK3	5595	ENSG00000102882	1362
HGNC:8583	SERPINE1	5054	ENSG00000106366	1340
HGNC:11283	SRC	6714	ENSG00000197122	1340
HGNC:6876	MAPK14	1432	ENSG00000112062	1295
HGNC:3542	F5	2153	ENSG00000198734	1274
