HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID	pmid_count
HGNC:5	A1BG	1	ENSG00000121410	31
HGNC:7	A2M	2	ENSG00000175899	255
HGNC:8	A2MP1	3	ENSG00000256069	6
HGNC:7645	NAT1	9	ENSG00000171428	238
HGNC:7646	NAT2	10	ENSG00000156006	686
HGNC:15	NATP	11	ENSG00000253937	5
HGNC:16	SERPINA3	12	ENSG00000196136	191
HGNC:17	AADAC	13	ENSG00000114771	25
HGNC:18	AAMP	14	ENSG00000127837	35
HGNC:19	AANAT	15	ENSG00000129673	40
HGNC:20	AARS1	16	ENSG00000090861	54
HGNC:22	AAVS1	17		2
HGNC:23	ABAT	18	ENSG00000183044	42
HGNC:29	ABCA1	19	ENSG00000165029	713
HGNC:32	ABCA2	20	ENSG00000107331	46
HGNC:33	ABCA3	21	ENSG00000167972	81
HGNC:48	ABCB7	22	ENSG00000131269	49
HGNC:70	ABCF1	23	ENSG00000204574	67
HGNC:34	ABCA4	24	ENSG00000198691	225
HGNC:76	ABL1	25	ENSG00000097007	809
HGNC:80	AOC1	26	ENSG00000002726	54
HGNC:77	ABL2	27	ENSG00000143322	99
HGNC:79	ABO	28	ENSG00000175164	261
HGNC:81	ABR	29	ENSG00000159842	38
HGNC:82	ACAA1	30	ENSG00000060971	48
HGNC:84	ACACA	31	ENSG00000278540	124
HGNC:85	ACACB	32	ENSG00000076555	77
HGNC:88	ACADL	33	ENSG00000115361	30
HGNC:89	ACADM	34	ENSG00000117054	107
HGNC:90	ACADS	35	ENSG00000122971	54
HGNC:91	ACADSB	36	ENSG00000196177	39
HGNC:92	ACADVL	37	ENSG00000072778	72
HGNC:93	ACAT1	38	ENSG00000075239	87
HGNC:94	ACAT2	39	ENSG00000120437	44
HGNC:99	ASIC2	40	ENSG00000108684	43
HGNC:100	ASIC1	41	ENSG00000110881	85
HGNC:108	ACHE	43	ENSG00000087085	206
HGNC:114	ACLS	46		1
HGNC:115	ACLY	47	ENSG00000131473	127
HGNC:117	ACO1	48	ENSG00000122729	89
HGNC:126	ACR	49	ENSG00000100312	37
HGNC:118	ACO2	50	ENSG00000100412	61
HGNC:119	ACOX1	51	ENSG00000161533	48
HGNC:122	ACP1	52	ENSG00000143727	140
HGNC:123	ACP2	53	ENSG00000134575	41
HGNC:124	ACP5	54	ENSG00000102575	94
HGNC:125	ACPP	55	ENSG00000014257	94
HGNC:127	ACRV1	56	ENSG00000134940	13
HGNC:129	ACTA1	58	ENSG00000143632	379
HGNC:130	ACTA2	59	ENSG00000107796	236
HGNC:132	ACTB	60	ENSG00000075624	511
HGNC:135	ACTBP2	62	ENSG00000213763	3
HGNC:136	ACTBP3	63		1
HGNC:137	ACTBP4	64		1
HGNC:139	ACTBP6	66	ENSG00000203413	0
HGNC:140	ACTBP7	67	ENSG00000185607	2
HGNC:141	ACTBP8	68	ENSG00000220267	5
HGNC:142	ACTBP9	69	ENSG00000266920	1
HGNC:143	ACTC1	70	ENSG00000159251	188
HGNC:144	ACTG1	71	ENSG00000184009	251
HGNC:145	ACTG2	72	ENSG00000163017	92
HGNC:146	ACTG1P1	73	ENSG00000178631	2
HGNC:147	ACTG1P2	74	ENSG00000229129	2
HGNC:148	ACTG1P3	75	ENSG00000215388	3
HGNC:151	ACTG1P6	78		1
HGNC:152	ACTG1P7	79		1
HGNC:153	ACTG1P8	80		1
HGNC:166	ACTN4	81	ENSG00000130402	232
HGNC:154	ACTG1P9	82	ENSG00000229349	1
HGNC:155	ACTG1P10	83	ENSG00000231340	1
HGNC:24124	ACTL6A	86	ENSG00000136518	126
HGNC:163	ACTN1	87	ENSG00000072110	224
HGNC:164	ACTN2	88	ENSG00000077522	118
HGNC:165	ACTN3	89	ENSG00000248746	197
HGNC:171	ACVR1	90	ENSG00000115170	145
HGNC:172	ACVR1B	91	ENSG00000135503	91
HGNC:173	ACVR2A	92	ENSG00000121989	117
HGNC:174	ACVR2B	93	ENSG00000114739	79
HGNC:175	ACVRL1	94	ENSG00000139567	164
HGNC:177	ACY1	95	ENSG00000243989	54
HGNC:179	ACYP1	97	ENSG00000119640	16
HGNC:180	ACYP2	98	ENSG00000170634	39
HGNC:186	ADA	100	ENSG00000196839	235
HGNC:215	ADAM8	101	ENSG00000151651	56
HGNC:188	ADAM10	102	ENSG00000137845	314
HGNC:225	ADAR	103	ENSG00000160710	295
HGNC:226	ADARB1	104	ENSG00000197381	84
HGNC:227	ADARB2	105	ENSG00000185736	31
HGNC:229	ADCP1	106		3
HGNC:232	ADCY1	107	ENSG00000164742	47
HGNC:233	ADCY2	108	ENSG00000078295	41
HGNC:234	ADCY3	109	ENSG00000138031	65
HGNC:236	ADCY5	111	ENSG00000173175	69
HGNC:237	ADCY6	112	ENSG00000174233	60
HGNC:238	ADCY7	113	ENSG00000121281	43
HGNC:239	ADCY8	114	ENSG00000155897	48
HGNC:240	ADCY9	115	ENSG00000162104	51
HGNC:241	ADCYAP1	116	ENSG00000141433	136
HGNC:242	ADCYAP1R1	117	ENSG00000078549	82
HGNC:243	ADD1	118	ENSG00000087274	229
HGNC:244	ADD2	119	ENSG00000075340	65
HGNC:245	ADD3	120	ENSG00000148700	52
HGNC:247	ADFN	122		2
HGNC:248	PLIN2	123	ENSG00000147872	93
HGNC:249	ADH1A	124	ENSG00000187758	49
HGNC:250	ADH1B	125	ENSG00000196616	375
HGNC:251	ADH1C	126	ENSG00000248144	220
HGNC:252	ADH4	127	ENSG00000198099	62
HGNC:253	ADH5	128	ENSG00000197894	75
HGNC:255	ADH6	130	ENSG00000172955	26
HGNC:256	ADH7	131	ENSG00000196344	58
HGNC:257	ADK	132	ENSG00000156110	42
HGNC:259	ADM	133	ENSG00000148926	342
HGNC:262	ADORA1	134	ENSG00000163485	125
HGNC:263	ADORA2A	135	ENSG00000128271	329
HGNC:264	ADORA2B	136	ENSG00000170425	117
HGNC:265	ADORA2BP1	137	ENSG00000236136	1
HGNC:268	ADORA3	140	ENSG00000282608	99
HGNC:269	ADPRH	141	ENSG00000144843	14
HGNC:270	PARP1	142	ENSG00000143799	1055
HGNC:271	PARP4	143	ENSG00000102699	49
HGNC:275	PARP1P1	144	ENSG00000227105	1
HGNC:276	PARP1P2	145	ENSG00000258995	1
HGNC:280	ADRA1D	146	ENSG00000171873	56
HGNC:278	ADRA1B	147	ENSG00000170214	76
HGNC:277	ADRA1A	148	ENSG00000120907	125
HGNC:281	ADRA2A	150	ENSG00000150594	223
HGNC:282	ADRA2B	151	ENSG00000274286	129
HGNC:283	ADRA2C	152	ENSG00000184160	95
HGNC:285	ADRB1	153	ENSG00000043591	358
HGNC:286	ADRB2	154	ENSG00000169252	1025
HGNC:288	ADRB3	155	ENSG00000188778	345
HGNC:289	GRK2	156	ENSG00000173020	224
HGNC:290	GRK3	157	ENSG00000100077	53
HGNC:291	ADSL	158	ENSG00000239900	69
HGNC:292	ADSS2	159	ENSG00000035687	31
HGNC:561	AP2A1	160	ENSG00000196961	146
HGNC:562	AP2A2	161	ENSG00000183020	116
HGNC:554	AP1B1	162	ENSG00000100280	98
HGNC:563	AP2B1	163	ENSG00000006125	143
HGNC:555	AP1G1	164	ENSG00000166747	101
HGNC:303	AEBP1	165	ENSG00000106624	31
HGNC:307	TLE5	166	ENSG00000104964	57
HGNC:304	CRISP1	167	ENSG00000124812	14
HGNC:314	AFG3L1P	172	ENSG00000223959	10
HGNC:316	AFM	173	ENSG00000079557	37
HGNC:317	AFP	174	ENSG00000081051	301
HGNC:318	AGA	175	ENSG00000038002	59
HGNC:319	ACAN	176	ENSG00000157766	148
HGNC:320	AGER	177	ENSG00000204305	849
HGNC:321	AGL	178	ENSG00000162688	73
HGNC:330	AGRP	181	ENSG00000159723	63
HGNC:6188	JAG1	182	ENSG00000101384	284
HGNC:333	AGT	183	ENSG00000135744	1044
HGNC:336	AGTR1	185	ENSG00000144891	902
HGNC:338	AGTR2	186	ENSG00000180772	224
HGNC:339	APLNR	187	ENSG00000134817	98
HGNC:341	AGXT	189	ENSG00000172482	106
HGNC:7960	NR0B1	190	ENSG00000169297	149
HGNC:343	AHCY	191	ENSG00000101444	113
HGNC:350	AIC	192		2
HGNC:348	AHR	196	ENSG00000106546	571
HGNC:349	AHSG	197	ENSG00000145192	301
HGNC:352	AIF1	199	ENSG00000204472	83
HGNC:356	CRYBG1	202	ENSG00000112297	29
HGNC:361	AK1	203	ENSG00000106992	43
HGNC:362	AK2	204	ENSG00000004455	47
HGNC:363	AK4	205	ENSG00000162433	34
HGNC:364	AK4P1	206	ENSG00000263535	2
HGNC:391	AKT1	207	ENSG00000142208	3129
HGNC:392	AKT2	208	ENSG00000105221	332
HGNC:395	ALAD	210	ENSG00000148218	130
HGNC:396	ALAS1	211	ENSG00000023330	53
HGNC:397	ALAS2	212	ENSG00000158578	60
HGNC:399	ALB	213	ENSG00000163631	558
HGNC:400	ALCAM	214	ENSG00000170017	153
HGNC:61	ABCD1	215	ENSG00000101986	128
HGNC:402	ALDH1A1	216	ENSG00000165092	313
HGNC:404	ALDH2	217	ENSG00000111275	628
HGNC:405	ALDH3A1	218	ENSG00000108602	64
HGNC:407	ALDH1B1	219	ENSG00000137124	68
HGNC:409	ALDH1A3	220	ENSG00000184254	62
HGNC:410	ALDH3B1	221	ENSG00000006534	30
HGNC:411	ALDH3B2	222	ENSG00000132746	17
HGNC:412	ALDH9A1	223	ENSG00000143149	34
HGNC:403	ALDH3A2	224	ENSG00000072210	78
HGNC:66	ABCD2	225	ENSG00000173208	28
HGNC:414	ALDOA	226	ENSG00000149925	163
HGNC:416	ALDOAP2	228	ENSG00000214297	2
HGNC:417	ALDOB	229	ENSG00000136872	61
HGNC:418	ALDOC	230	ENSG00000109107	63
HGNC:381	AKR1B1	231	ENSG00000085662	176
HGNC:425	AKR1B1P2	236	ENSG00000213452	2
HGNC:427	ALK	238	ENSG00000171094	629
HGNC:429	ALOX12	239	ENSG00000108839	141
HGNC:435	ALOX5	240	ENSG00000012779	287
HGNC:436	ALOX5AP	241	ENSG00000132965	147
HGNC:430	ALOX12B	242	ENSG00000179477	41
HGNC:431	ALOX12P1	243	ENSG00000264958	1
HGNC:432	ALOX12P2	245	ENSG00000262943	6
HGNC:433	ALOX15	246	ENSG00000161905	198
HGNC:434	ALOX15B	247	ENSG00000179593	51
HGNC:437	ALPI	248	ENSG00000163295	54
HGNC:438	ALPL	249	ENSG00000162551	236
HGNC:439	ALPP	250	ENSG00000163283	87
HGNC:441	ALPG	251	ENSG00000163286	40
HGNC:449	ALX3	257	ENSG00000156150	16
HGNC:452	AMBN	258	ENSG00000178522	30
HGNC:453	AMBP	259	ENSG00000106927	119
HGNC:457	AMD1	262	ENSG00000123505	50
HGNC:460	AMD1P2	263	ENSG00000237801	1
HGNC:461	AMELX	265	ENSG00000125363	59
HGNC:462	AMELY	266	ENSG00000099721	15
HGNC:463	AMFR	267	ENSG00000159461	129
HGNC:464	AMH	268	ENSG00000104899	330
HGNC:465	AMHR2	269	ENSG00000135409	66
HGNC:468	AMPD1	270	ENSG00000116748	92
HGNC:469	AMPD2	271	ENSG00000116337	38
HGNC:470	AMPD3	272	ENSG00000133805	27
HGNC:471	AMPH	273	ENSG00000078053	76
HGNC:1052	BIN1	274	ENSG00000136717	187
HGNC:473	AMT	275	ENSG00000145020	33
HGNC:474	AMY1A	276	ENSG00000237763	78
HGNC:475	AMY1B	277	ENSG00000174876	22
HGNC:476	AMY1C	278	ENSG00000187733	23
HGNC:477	AMY2A	279	ENSG00000243480	52
HGNC:478	AMY2B	280	ENSG00000240038	27
HGNC:479	AMYP1	281	ENSG00000227408	5
HGNC:483	ANG	283	ENSG00000214274	197
HGNC:484	ANGPT1	284	ENSG00000154188	299
HGNC:485	ANGPT2	285	ENSG00000091879	421
HGNC:492	ANK1	286	ENSG00000029534	98
HGNC:493	ANK2	287	ENSG00000145362	93
HGNC:494	ANK3	288	ENSG00000151150	119
HGNC:500	ANPEP	290	ENSG00000166825	140
HGNC:10990	SLC25A4	291	ENSG00000151729	140
HGNC:10991	SLC25A5	292	ENSG00000005022	148
HGNC:10992	SLC25A6	293	ENSG00000169100	110
HGNC:533	ANXA1	301	ENSG00000135046	322
HGNC:537	ANXA2	302	ENSG00000182718	495
HGNC:538	ANXA2P1	303		2
HGNC:539	ANXA2P2	304	ENSG00000231991	16
HGNC:540	ANXA2P3	305	ENSG00000216740	3
HGNC:541	ANXA3	306	ENSG00000138772	70
HGNC:542	ANXA4	307	ENSG00000196975	88
HGNC:543	ANXA5	308	ENSG00000164111	234
HGNC:544	ANXA6	309	ENSG00000197043	116
HGNC:545	ANXA7	310	ENSG00000138279	80
HGNC:535	ANXA11	311	ENSG00000122359	79
HGNC:536	ANXA13	312	ENSG00000104537	24
HGNC:548	AOAH	313	ENSG00000136250	19
HGNC:549	AOC2	314	ENSG00000131480	12
HGNC:553	AOX1	316	ENSG00000138356	40
HGNC:576	APAF1	317	ENSG00000120868	184
HGNC:8049	NUDT2	318	ENSG00000164978	26
HGNC:615	APOF	319	ENSG00000175336	24
HGNC:578	APBA1	320	ENSG00000107282	53
HGNC:579	APBA2	321	ENSG00000034053	55
HGNC:581	APBB1	322	ENSG00000166313	110
HGNC:582	APBB2	323	ENSG00000163697	33
HGNC:583	APC	324	ENSG00000134982	822
HGNC:584	APCS	325	ENSG00000132703	102
HGNC:360	AIRE	326	ENSG00000160224	189
HGNC:586	APEH	327	ENSG00000164062	39
HGNC:587	APEX1	328	ENSG00000100823	581
HGNC:590	BIRC2	329	ENSG00000110330	273
HGNC:591	BIRC3	330	ENSG00000023445	256
HGNC:592	XIAP	331	ENSG00000101966	541
HGNC:593	BIRC5	332	ENSG00000089685	1189
HGNC:597	APLP1	333	ENSG00000105290	55
HGNC:598	APLP2	334	ENSG00000084234	84
HGNC:600	APOA1	335	ENSG00000118137	972
HGNC:601	APOA2	336	ENSG00000158874	166
HGNC:602	APOA4	337	ENSG00000110244	200
HGNC:603	APOB	338	ENSG00000084674	785
HGNC:604	APOBEC1	339	ENSG00000111701	46
HGNC:607	APOC1	341	ENSG00000130208	184
HGNC:608	APOC1P1	342	ENSG00000214855	7
HGNC:642	AQP8	343	ENSG00000103375	63
HGNC:609	APOC2	344	ENSG00000234906	123
HGNC:610	APOC3	345	ENSG00000110245	398
HGNC:611	APOC4	346	ENSG00000267467	36
HGNC:612	APOD	347	ENSG00000189058	107
HGNC:613	APOE	348	ENSG00000130203	4300
HGNC:616	APOH	350	ENSG00000091583	233
HGNC:620	APP	351	ENSG00000142192	2552
HGNC:626	APRT	353	ENSG00000198931	69
HGNC:6364	KLK3	354	ENSG00000142515	430
HGNC:11920	FAS	355	ENSG00000026103	1165
HGNC:11936	FASLG	356	ENSG00000117560	652
HGNC:630	SHROOM2	357	ENSG00000146950	23
HGNC:633	AQP1	358	ENSG00000240583	307
HGNC:634	AQP2	359	ENSG00000167580	171
HGNC:636	AQP3	360	ENSG00000165272	174
HGNC:637	AQP4	361	ENSG00000171885	284
HGNC:638	AQP5	362	ENSG00000161798	148
HGNC:639	AQP6	363	ENSG00000086159	9
HGNC:640	AQP7	364	ENSG00000165269	59
HGNC:643	AQP9	366	ENSG00000103569	98
HGNC:644	AR	367	ENSG00000169083	2262
HGNC:57	ABCC6	368	ENSG00000091262	126
HGNC:646	ARAF	369	ENSG00000078061	88
HGNC:649	ARCN1	372	ENSG00000095139	74
HGNC:660	TRIM23	373	ENSG00000113595	43
HGNC:651	AREG	374	ENSG00000109321	181
HGNC:652	ARF1	375	ENSG00000143761	223
HGNC:654	ARF3	377	ENSG00000134287	59
HGNC:655	ARF4	378	ENSG00000168374	81
HGNC:656	ARL4D	379	ENSG00000175906	21
HGNC:657	ARF4P1	380	ENSG00000271525	1
HGNC:658	ARF5	381	ENSG00000004059	53
HGNC:659	ARF6	382	ENSG00000165527	231
HGNC:663	ARG1	383	ENSG00000118520	176
HGNC:664	ARG2	384		76
HGNC:667	RHOA	387	ENSG00000067560	941
HGNC:668	RHOB	388	ENSG00000143878	142
HGNC:669	RHOC	389	ENSG00000155366	161
HGNC:671	RND3	390	ENSG00000115963	67
HGNC:672	RHOG	391	ENSG00000177105	64
HGNC:673	ARHGAP1	392	ENSG00000175220	88
HGNC:674	ARHGAP4	393	ENSG00000089820	33
HGNC:675	ARHGAP5	394	ENSG00000100852	38
HGNC:676	ARHGAP6	395	ENSG00000047648	14
HGNC:678	ARHGDIA	396	ENSG00000141522	155
HGNC:679	ARHGDIB	397		87
HGNC:680	ARHGDIG	398	ENSG00000242173	18
HGNC:686	RHOH	399	ENSG00000168421	47
HGNC:692	ARL1	400	ENSG00000120805	53
HGNC:691	PHOX2A	401	ENSG00000165462	35
HGNC:693	ARL2	402	ENSG00000213465	53
